review_text,review_rating
"Awal potong disini pelayanan masih bagus. Mungkin karena pas pandemi juga ya, jadi yang potong rambut ga antri. Tapi beberapa hari lalu pas mau potong rambut, resepsionis bilang masih antri 4 orang. Saya tanya kira-kira berapa jam lagi, katanya 1 jam. Akhirnya setelah menulis di list reservasi, saya bilang ke resepsionis bahwa saya keluar dulu untuk makan siang dan sholat. Satu jam kemudian saya balik lagi, barber sedang menangani customer lain dan bilang giliran saya setelah customer tersebut. Tapi setengah jam lebih kemudian, setelah customer tersebut selesai, barber keluar. Saya pikir mungkin istirahat sebentar atau apa. Tapi kok pas balik lagi, dia malah menangani customer lain. Saya tanya resepsionis kok bukan saya yang dipanggil, dia hanya maaf maaf saja tapi tidak memberi solusi. Barber lainnya juga sangat lama menangani customer. Waktu saya datang, potongannya masih setengah jalan, tapi hampir satu jam saya nunggu disitu, dia belum selesai juga motong rambutnya. Entah sebenarnya standar potong rambut premium itu berapa jam ya? Akhirnya karena kelamaan nunggu dan ga jelas kapan akan ditangani, saya keluar saja lah. Ga jadi potong rambut.",1
"Barber yang paling ga worth it yang pernah saya temui. Harga potongan 50ribu tapi dari segi pelayanan tidak menunjukkan bahwa barber ini 'premium', padahal judul layanannya aja 'premium haircut'. Dari segi pelayanan kurang memuaskan, krn setelah receptionist memanggil nama tidak langsung mengarahkan kustomer ke tempat potong yang ada, sehingga sempat salah duduk. Terus dari segi kualitas potongan juga tidak sesuai ekpektasi, saya minta agar dipotong sedikit lebih pendek ternyata malah dibuat cukup pendek. Sehingga dari segi kualitas saya anggap kurang dan kurang memuaskan. Barberman juga seperti keburu istirahat dan cukup grusa grusu, dan kurang melayani kustomer dengan sepenuh hati. Dari segi fasilitas juga timpang dari barber yang harganya lebih murah, karena tidak mendapatkan layanan handuk panas dan pijat seusai keramas. Tempat cuci rambut juga sangat sempit dan tidak memungkinkan dalam posisi tiduran (sleeper). Saran pada pengelola agar perbaiki layanan serta kualitasnya. Sebagai kustomer saya merasa tidak puas dan menganggap harga tidak sesuai dengan layanan yang diberikan.",1
"Tempat potong rambut yang cukup oke dengan harga terjangkau dan lokasi strategis di tengah-tengah kota Malang. Pelayanannya baik dan ramah, begitu masuk akan langsung dilayani oleh petugasnya. Setelah mendapatkan nomor antrean menunggu sebentar dan bisa langsung eksekusi hehe. Ketika mengantre tidak begitu lama, tergantung ramai atau tidaknya. Tukang cukurnya berpengalaman dan bisa diajak diskusi. Biasanya juga akan disarankan potongan rambut bagaimana yang sesuai untuk kita. Setelah potong rambut kita akan mendapat pelayanan cuci rambut (keramas) dan langsung dikeringkan saat itu juga. Kisaran harganya: 50K - 80K (standar barbershop)",5
"Antrian ga fair, sering kesela sama orang2 yg baru datang. Alasannya sdh reservasi. Seharusnya kl sdh reservasi, namanya sudah terdaftar. Hair styles 3 antrian 7 orang, nunggu 1.5 jam belum dipotong juga, alasan ada yg sdh reservasi diluar antrian. Mbaknya yg di resepsionis juga kurang ramah, hari minggu tgl 8 Mei 2022 sore, diajak ngobrol juga ga kontak mata. Tolong diperbaiki shg bisa lebih profesional.",2
"Enak potongan di tukang pangkas rambut di desa aja toh hasilnya juga sama cuma 10rb, kalau potongan harga 50rb , aw mahal",1
"Pengalaman cukur gundul disini, request kerok pake silet agar licin kulit. Hasil kurang memuaskan, dikerok pake silet tanpa menggunakan foam dan hasilnya tidak rapi",3
Mampir di bisnis teman. Sebuah unit usaha yang cukup menarik. Sambil mampir sambil merapikan rambut. Tempatnya yang sangat strategis dan mudah di jangkau. Pelayanan nya cukup bagus. Tempatnya bersih dan tertata rapi. Terdapat 5 kursi untuk eksekusi rambut anda. Dan 1 tempat untuk cuci rambut. Ada juga tempat untuk menunggu. Maklum setiap hari harus antri jika potong rambut,5
"Ruang tunggunya nyaman, suami nyoba potong dengan style sesuai yang direkomendasikan dan hasilnya cocok, bakal jadi langganan suami potong rambut disini",5
"Kalo udah tutup, ganti dong jam di google maps-nya, biar oke gitu boss",2
"Salah satu barbershop yang recommended, selain hasil potongan yang bagus barber ini juga memiliki banyak cabang, pelayanan ramah dan bisa konsultasi model potongan yang di inginkan, harga menurut saya sebanding dengan hasil, terdapat pula tempat keramas dan pijat kepala untuk beberapa saat. Tempatnya pun bersih dan unik memiliki ciri khas. Hanya saja menurut saya tempat parkir nya agak kecil.",4
Capster nya ga ramah kasar hasil potongannya kurang bagus,1
"waktu kesini ndak nulis daftar nama dan ndak diingatkan oleh resepsionis alhasil antrian yang baru aja masuk bisa lebih dulu dilayanin padahal harusnya bisa mengoreksi daftar hadir dan menyesuaikan siapa yang hadir terlebih dahulu, apa lagi sudah nunggu 1 jam. yang disayangkan juga dari crew malah menyalahkan customer yang tidak tau aturan main mereka. Semoga bisa jadi koreksi untuk lebih care lagi ke customers.",2
Mampir di bisnis teman. Sebuah unit usaha yang cukup menarik. Sambil mampir sambil merapikan rambut. Tempatnya yang sangat strategis dan mudah di jangkau. Pelayanan nya cukup bagus. Tempatnya bersih dan tertata rapi. Terdapat 5 kursi untuk eksekusi rambut anda. Dan 1 tempat untuk cuci rambut. Ada juga tempat untuk menunggu. Maklum setiap hari harus antri jika potong rambut,5
"Overprice!!, gonta-ganti barberman mulu. Hasil kurang memuaskan padahal udah dikasih contoh, udah dijelasin masih aja kurang sesuai ekspektasi",2
"Barbershop andalan malang kota, saran buat yg mau potong di suhat mending reserv via wa dari pada antri lama.. Klo reserv pasti di duluin tgl kita menentukan mau dtg jam brp",5
"Awalnya oke2 aja, tp masa request comma hair, poni depan saya dipotong pendek (baru sadar di akhir)… terus habis dikeramasin si barbernya keburu makan siang aja jadi rambut saya ga dirapihin lagi, so bad",2
"Mantap, dari awal2 buka ga pernah nyesel potong disini",5
"tempat nya ga begitu luas tp lumayan, 45 rb sangat murah untuk ukuran barbershop ya, saya rekomen tempat ini",5
"Salah satu barbershop yang recommended, selain hasil potongan yang bagus barber ini juga memiliki banyak cabang, pelayanan ramah dan bisa konsultasi model potongan yang di inginkan, harga menurut saya sebanding dengan hasil, terdapat pula tempat keramas dan pijat kepala untuk beberapa saat. Tempatnya pun bersih dan unik memiliki ciri khas. Hanya saja menurut saya tempat parkir nya agak kecil.",4
Pengalaman potong disini paling buruk,1
Tempat pangkas rambut yang sangat rekomen. Pelayanan sangat ramah,5
"Antrinya lama,di dalem keliatan gak bnyak yg antri ternyata ditinggal keluar,brati bagus kalo banyak yg potong dsini.",3
"Mantap, dari awal2 buka ga pernah nyesel potong disini",5
"Mungkin jika dibandingkan barbershop pada umumnya dengan di Jakarta, tidak ada servis pijit kepala n pundak",4
"maaf banget, lebih dengerin pelanggannya minta apa ya.",1
Tempat nyaman banget dan jadi langganan pacarku 💕💕,5
"Langganan sejak kakak dan adik masih SD, dan sekarang sudah kuliah... Kualitas bagus, barber perhatian dan suka bercerita. Sudah mencoba di lokasi ini dan beberapa lokasi lainnya. Mau potong rambut ya disini.....",5
Bagus dan puas bgt cuma satu kasih training lagi tuh kasirnya gmn cara menerima tamu dan pelanggan....,5
"good quality barbers, friendly service too.. you guys solud come here tapi haircut di barbershop tanpa di pijit itu kekmana ya aneh bgt 😃",4
Jangan ragu.. Pelayanan mantap hasil memuaskan barbermen nya sopan2,5
Bagus rapi potongannya... 50k yaa,5
"Teralu buru2 motongnya, samping rambut ga di kerik rapih, barbermen ga serius banyak ngobrol sama temen nya Harga 50.000",2
"Baru pertama kali nyoba , pelayanan baik mas nya humoris , potong sama mas Jodi recommended pokoknya",5
Mungkin harganya tergolong mahal untuk ukuran barber shop. Tapi sebanding dengan pengalaman yang anda dapatkan. Barbernya tampil modis dengan kemeja putih dan dasi. Skillnya mantab dan halus. Punya wawasan yang bagus untuk berbagai jenis rambut. Lokasinya juga sangat keren dan gaul. Ada musiknya dan ruang tunggu yang nyaman. Anda akan mendampat pijatan setelah potong rambut. Beberapa point negatifnya jgn mau dilayani resepsionisnya yang cewek untuk servis seperti keramas dan pijat. Beda bgt rasanya. Hanya melayani laki2,5
"Cukup worth it dengan harganya, tempat, pelayanan bagus, overall puas cukur disini, pelayanannya ditingkatkan lagi yaa",5
"KECEWA DATENG JAM 7 KATANYA DAH TUTUP, ASTAGA",1
"recommend banget, hasil fade nya gaada obat. Pelayanan cepat, mending reservasi dulu biar gak lama antri",5
"Sistem reservasi perlu perbaikan. Saya datang jam 11 siang ada antrian 10 orang, akhirnya memutuskan untuk reservasi di sore hari jam stgh 5. Saya datang jam 4 lebih sedikit, diminta tunggu sebentar tp akhirnya dipanggil jam 6 lebih. 2 jam menunggu, saya rasa percuma tadi siang saya buat reservasi. Mohon diperhatikan untuk kemajuan Richdjoe Barbershops. Terima kasih.",2
